user_name;id
Olivier Dussopt;278063562
Valérie Boyer ن;276934698
Daniel Fasquelle;267310445
Henri Jibrayel;266432967
Jean-Claude Guibal;266110087
Alain Chrétien;254629290
Dominique Chauvel;249564899
Florent Boudié;245747441
Erwann Binet;244890770
Pierre Morange;243300558
Jean Jacques Vlody;242603803
Jean-Louis Roumégas;234272306
Régis JUANICO;230495042
frederique massat;224537286
JEAN-CLAUDE BOUCHET;224265528
Christophe Cavard;216290050
Christian Paul;215292075
JC Taugourdeau;214110691
Olivier Faure;213754264
Gérald DARMANIN;209825928
Pierre Alain Muet;203853981
Pascal Terrasse;203828194
Corinne Erhel;199317520
Jean-Pierre Giran;191832590
Pierre-Yves Le Borgn;191366432
Guillaume Larrivé;177662118
Michel Françaix;177108832
Guy Chambefort;170688963
Martine Pinville;169014052
Germinal Peiro;164317127
Jean-Louis COSTES;140086525
Sylvain Berrios;136895502
Sophie_Dion;136239243
Arnaud Richard;127768933
Christophe Castaner;125727024
BIES Philippe;120805649
Marcel ROGEMONT;119026515
Jean Louis Gagnaire;117798111
Philippe Folliot;117052245
Thierry SOLERE;116229959
Axelle Lemaire;116063765
David Douillet;116025332
Mathieu Hanotin;115643244
delaverpilliere;115003417
jacques pelissard;114998828
Jean-Paul Bacquet;110950142
Xavier BRETON;110940366
MOREL A L'HUISSIER;110940220
Patrice PRAT;110521463
Marc Le Fur;110459051
Christian ECKERT;110223111
Bernard Debré;109222494
Elisabeth Guigou;108999975
Estelle GRELIER;106357883
Jean-François Copé;105116603
Jean Lassalle;102722347
Sandrine Mazetier;98405344
Michel MENARD;96175785
François Baroin;96093611
Edouard Courtial;95528939
Olivier Carré;94339111
Frédéric Lefebvre;92548542
CatherineVautrin;92251305
Luc BELOT;88685879
Eric Ciotti;87886754
Alain Suguenot;87711812
Charles Ange Ginesy;87691954
Thierry MARIANI  ن;87212906
Laurent Marcangeli;86740782
Rudy Salles;85947555
Sébastien Huyghe ‏ن;85541760
Arnaud Robinet;85531043
Jean-Marc Germain;85326869
Michel LEFAIT Député;84895558
Christian Estrosi;83784709
Nicole Ameline;82585925
Franck Reynier;82076380
Yann Galut ن;79221731
Bruno Le Roux;78242617
reynes bernard;76662684
Damien Abad;76584619
Lionel TARDY;75597552
François SAUVADET;75406026
Gérard Sebaoun;74196974
Yves Jégo;74092783
Alain Rousset;73381845
Nicolas Bays;71988580
Noel Mamère;69410374
Sylviane Bulteau;69303932
Michel Pouzol;68383304
sergio coronado;66509519
Razzy Hammadi;60626246
PIETRASANTA;59085374
Dominique Bussereau;57315555
Hugues Fourage;56100309
Philippe Goujon;54531424
Eric Straumann;54132631
Laure de La Raudière;52764210
Maurice Leroy;52735020
Valérie Pécresse;49969223
serge bardy;49967601
Michel Vauzelle;46641505
N. Dupont-Aignan;38170599
L Grandguillaume;35521057
Ericka Bareigts;34898575
Hervé Morin;34225599
J-C Fromantin;34222231
Daniel Goldberg;32916973
Victorin LUREL;30010590
Jérôme Guedj;26725581
Philip Cordery;26115394
Vincent Feltesse;25489768
Claude Bartolone;24906326
Martine Faure;24524648
Luc CHATEL;23458148
Benoist Apparu;22245559
N. Kosciusko-Morizet;20702279
laurent wauquiez;19438626
Philippe BAUMEL;18973057
Denis_Baupin;17271007
François Bayrou;17211968
Xavier Bertrand;17172319
Matthias Fekl;16711996
Yannick FAVENNEC;16648630
Philippe Doucet;15752314
Patrick Mennucci;15724880
Jean-Chr. Cambadélis;14658057
